id,article,description,article_tokens,description_tokens,article_length,description_length,compression_ratio,token_difference,category,cosine_similarity
https://www.leparisien.fr/jo-paris-2024/,"JO Paris 2024 : Toute l'actualité des Jeux Olympiques d'été à Paris en direct sur Le Parisien

Pass Jeux et QR Code : périmètres de sécurité, règles, transports en commun… Toutes les réponses à vos questions
Comment obtenir un QR Code ? En faudra-t-il pour utiliser le métro ? Comment traverser les zones grise ou rouge ? Sera-t-il possible de déménager ? Le Parisien répond à vos questions pratiques sur le Pass Jeux.",Suivez l'actualité des Jeux Olympiques à Paris en 2024 en direct et en vidéo sur le Parisien.fr,73,17,418,95,0.22727272727272727,56,Grande différence,0.2870648241809536
https://www.leparisien.fr/jo-paris-2024/flamme-olympique/,"Flamme olympique aux JO de Paris 2024 : parcours, dates, villes, porteurs du relais

JO Paris 2024 : où et à quelle heure voir la flamme en Haute-Garonne et à Toulouse, le parcours du 17 maile 15 mai 2024","Flamme Olympique aux JO de Paris 2024 : Parcours étape par étape, dates, villes visitées, porteurs de la flamme et relayeurs. Tout savoir avec Le Parisien.",39,26,204,155,0.7598039215686274,13,Similaire,0.486078018780399
